Index	Longitude	Latitude	Depth	Salinity_current	Temperature_current	Salinity_future	Temperature_future	Fucus_vesiculosus_bio	Idotea_baltica_abu	POINT_X	POINT_Y
26	16.95159	58.31573	2.5	6.3811101913	17.2663383484	4.2528796196	17.5978107452	178.05	0.00	87662.2563000023	6485584.0504
27	16.95264	58.31427	1.2	6.3781700134	17.2009830475	4.2557997704	17.5182590485	81.87	329.00	87706.4028000012	6485415.88149999
28	16.96052	58.40793	0.7	6.3737325668	17.9227199554	4.2254042625	18.2421989441	0.00	0.00	89258.4659999981	6495741.752
29	17.0013	58.36046	0.4	6.3428077698	17.3810806274	4.2339110374	17.7475910187	8.01	166.67	91078.5956000015	6490234.38749999
30	17.00136	58.36046	1.5	6.3428077698	17.3810806274	4.2339110374	17.7475910187	694.71	0.00	91082.0885000005	6490234.0218
31	17.00278	58.36123	4	6.3409996033	17.3663673401	4.2336306572	17.7391090393	8.91	0.00	91173.6854000017	6490310.6609
32	17.00287	58.36121	0.6	6.3409996033	17.3663673401	4.2336306572	17.7391090393	743.85	3750.00	91178.6928000003	6490307.89689999
33	17.00488	58.36018	0.5	6.3385219574	17.3468093872	4.2332296371	17.7273960114	502.41	1450.00	91283.7631999999	6490181.552
34	17.00494	58.36016	0.2	6.3385219574	17.3468093872	4.2332296371	17.7273960114	0.00	75.00	91287.0243000015	6490178.97089999
35	17.01438	58.36171	1.8	6.3316297531	17.299703598	4.2318167686	17.7020168304	607.85	141.00	91854.541699998	6490293.1908
36	17.01579	58.36302	0.1	6.3244667053	17.2576084137	4.2303137779	17.6799182892	0.00	450.00	91951.7895999997	6490429.72729999
37	17.01594	58.36329	2.5	6.3244667053	17.2576084137	4.2303137779	17.6799182892	56.94	6133.50	91963.6469999998	6490458.7241
38	17.61029	58.83082	5.6	5.9102101326	16.4079360962	4.0039634705	17.1322307587	31.01	0.00	131530.924999997	6538834.44049999
39	17.61043	58.83168	5	5.909719944	16.4255828857	4.0030732155	17.1491641998	0.00	0.00	131548.084700003	6538929.02829999
40	17.61244	58.83035	3.7	5.9102101326	16.4079360962	4.0039634705	17.1322307587	0.00	0.00	131649.554099999	6538770.51819999
41	17.61464	58.83562	1.5	5.9076189995	16.4514217377	4.0004816055	17.1740322113	2466.97	47.00	131831.832199998	6539342.7813
42	17.61488	58.83578	1.3	5.9076189995	16.4514217377	4.0004816055	17.1740322113	0.00	0.00	131847.322300001	6539359.20499999
43	17.61539	58.82898	1.8	5.9084215164	16.3682994843	4.0026192665	17.1135845184	0.00	0.00	131804.654399998	6538602.41539999
44	17.61557	58.82956	1.5	5.909714222	16.3900489807	4.0036816597	17.1154651642	1116.33	94.00	131821.143200002	6538665.73829999
45	17.61587	58.83556	2.8	5.9076189995	16.4514217377	4.0004816055	17.1740322113	1259.63	0.00	131901.902400001	6539329.3779
46	17.62157	58.83416	1.2	5.9038949013	16.3810882568	3.9988117218	17.1055049896	0.00	0.00	132214.756999999	6539142.8773
47	17.62873	58.833	0.4	5.9045786858	16.2802524567	4.0013341904	17.0034103394	0.00	0.00	132614.111000001	6538975.0166
48	17.62987	58.8294	1.3	5.9065666199	16.2294254303	4.0039253235	16.9533920288	0.00	0.00	132641.625699996	6538569.59369999
49	17.63027	58.82987	2.3	5.9071278572	16.1786804199	4.0053539276	16.8994636536	15.93	0.00	132669.587700001	6538619.51819999
50	17.6304	58.831	2	5.906126976	16.2044315338	4.0040583611	16.9253444672	0.00	141.00	132688.996100001	6538744.1044
51	17.63215	58.82169	7.5	5.9085583687	16.112493515	4.0076742172	16.8444042206	0.00	0.00	132691.311399996	6537702.19779999
52	17.63251	58.83772	0.2	5.8995447159	16.3609542847	3.9956738949	17.0824699402	0.00	0.00	132881.253700003	6539477.6906
53	17.6329	58.82061	1.5	5.9081468582	16.1351852417	4.0068454742	16.8732891083	4243.63	141.00	132723.041199997	6537578.33689999
54	17.63305	58.82368	1.7	5.9085702896	16.0929355621	4.0083799362	16.8121471405	0.00	0.00	132764.076899997	6537917.92799999
55	17.63322	58.82378	1	5.9085702896	16.0929355621	4.0083799362	16.8121471405	34.24	0.00	132774.908399999	6537928.0857
56	17.63464	58.82125	6.5	5.9085583687	16.112493515	4.0076742172	16.8444042206	0.64	0.00	132829.863700002	6537639.77659999
57	17.635	58.82061	4	5.9081468582	16.1351852417	4.0068454742	16.8732891083	0.00	0.00	132843.812799997	6537566.84039999
58	17.63641	58.82826	1.8	5.9080543518	16.1250076294	4.0071454048	16.8418312073	85.14	0.00	133005.619199998	6538407.38679999
59	17.6366	58.82806	1.8	5.9080543518	16.1250076294	4.0071454048	16.8418312073	9.48	0.00	133014.433600001	6538384.1704
60	17.64379	58.81594	1.5	5.9068398476	16.1179790497	4.0061974525	16.8599071503	3.62	15.67	133300.115099996	6537000.9268
61	17.6452	58.81287	2	5.9011096954	16.1776199341	4.0005173683	16.9448013306	1270.91	376.00	133348.869199998	6536652.80169999
62	17.64629	58.81224	3.6	5.9011096954	16.1776199341	4.0005173683	16.9448013306	2558.59	0.00	133404.933399997	6536576.9864
63	17.64754	58.81276	2.8	5.9003787041	16.1757545471	3.9999907017	16.9440917969	4.20	47.00	133482.317000001	6536627.81599999
64	17.64765	58.81313	1.7	5.9019255638	16.1394004822	4.0020465851	16.8944950104	637.47	0.00	133492.541699998	6536668.2426
65	17.64803	58.81206	2.5	5.9003787041	16.1757545471	3.9999907017	16.9440917969	181.21	0.00	133503.131499998	6536547.51869999
66	17.64861	58.81379	1.5	5.9019255638	16.1394004822	4.0020465851	16.8944950104	0.00	0.00	133554.715000003	6536736.18219999
67	17.65282	58.82264	1.5	5.9129676819	15.9507904053	4.0144982338	16.6518688202	0.00	188.00	133890.024499997	6537694.53629999
68	17.65503	58.8232	5	5.9116849899	15.9671182632	4.0132246017	16.6712112427	0.00	0.00	134023.009800001	6537744.57279999
69	17.65722	58.82018	1.5	5.9071717262	16.0120239258	4.0087943077	16.7311573029	0.00	175.00	134117.191200003	6537397.7465
70	17.65835	58.80658	2.75	5.895195961	16.2606964111	3.9936959743	17.072511673	0.00	0.00	134039.178099997	6535883.5161
71	17.67144	58.80568	2.2	5.8848876953	16.1971054077	3.9863774776	17.0167503357	0.00	0.00	134782.880500003	6535712.37269999
72	17.682	58.80025	2.7	5.8790683746	16.188331604	3.9812073708	17.0196495056	0.00	0.00	135333.603	6535052.7875
73	17.69098	58.80693	2.5	5.8712048531	16.1635093689	3.9770097733	16.9809379578	0.00	329.00	135920.265100002	6535744.7619
74	17.69947	58.80558	1.75	5.865840435	16.1504611969	3.9720015526	16.9811382294	0.00	0.00	136394.658399999	6535549.00479999
75	17.7012	58.79683	2.75	5.8636445999	16.1248397827	3.9665763378	16.9908714294	0.00	0.00	136402.818199999	6534569.3082
76	18.53258	60.2842	1.5	4.6306314468	17.8636798859	2.6267845631	19.2408046722	0.00	0.00	197771.8024	6695521.68899999
77	18.533	60.28223	1.5	4.6316003799	17.856262207	2.6278910637	19.2359447479	0.00	0.00	197777.092299997	6695300.96029999
78	18.53823	60.28794	2.9	4.6290078163	17.9009647369	2.6235322952	19.2652835846	0.00	0.00	198117.336099997	6695911.70439999
79	18.53896	60.28642	0.7	4.62992239	17.8952026367	2.6244883537	19.261510849	0.00	0.00	198143.818199999	6695739.5692
80	18.5463	60.28954	3.1	4.6292290688	17.9709453583	2.619746685	19.3112678528	0.00	0.00	198576.879699997	6696053.1506
81	18.54729	60.47169	5.5	4.5148758888	16.9966239929	2.5898234844	18.666185379	0.00	0.00	200280.069799996	6716284.4166
82	18.54806	60.30553	1.2	4.6027913094	17.8355560303	2.6082003117	19.2222709656	0.00	0.00	198818.6325	6697821.5326
83	18.54839	60.48096	10	4.51658535	16.8772277832	2.5969588757	18.6032390594	0.00	0.00	200424.289599999	6717309.41039999
84	18.54858	60.47491	0.5	4.5217518806	16.9115467072	2.6016669273	18.6101894379	107.12	175.00	200379.959600001	6716636.39849999
85	18.55329	60.30391	1.7	4.60800457	17.9049396515	2.6080598831	19.2678413391	0.00	0.00	199092.272299997	6697618.09699999
86	18.55403	60.4124	1.5	4.538836956	17.3668556213	2.5867693424	18.8978042603	0.00	0.00	200113.753700003	6709667.24179999
87	18.55404	60.47312	3.2	4.5223822594	16.9262123108	2.6011879444	18.6195774078	79.62	0.00	200663.209299996	6716413.1497
88	18.55566	60.4131	1.7	4.5383610725	17.3332309723	2.5887410641	18.8751716614	0.80	0.00	200209.639600001	6709737.7237
89	18.55612	60.41191	0.5	4.538836956	17.3668556213	2.5867693424	18.8978042603	15.18	0.00	200224.160400003	6709603.46209999
90	18.55723	60.41185	1	4.538836956	17.3668556213	2.5867693424	18.8978042603	0.00	0.00	200284.608099997	6709591.83599999
91	18.55871	60.41181	0.5	4.5433888435	17.3152732849	2.5933356285	18.8637294769	0.00	0.00	200365.566600002	6709580.78009999
92	18.55899	60.30522	1	4.6068835258	17.8814373016	2.6089911461	19.2518177032	0.00	0.00	199418.312399998	6697738.06749999
93	18.56098	60.41119	2	4.5448403358	17.2789382935	2.5968592167	18.8406505585	0.00	0.00	200484.696599997	6709501.76139999
94	18.58078	60.39161	1.4	4.5243830681	17.6300106049	2.5635631084	19.0772266388	0.07	0.00	201396.532899998	6707238.17779999
95	18.58652	60.42969	1.3	4.5486545563	16.9092292786	2.6247413158	18.5991420746	44.89	0.00	202054.309500001	6711443.3731
96	18.5906	60.43052	1.2	4.549574852	16.9063053131	2.6255638599	18.5971355438	8.11	0.00	202285.829199999	6711517.473
97	18.59751	60.42994	3.7	4.5546121597	16.8925151825	2.6298811436	18.5874671936	937.83	0.00	202660.106399998	6711422.38289999
98	18.60463	60.39968	3.8	4.5607419014	17.1996421814	2.6132824421	18.7939796448	0.00	0.00	202780.119699999	6708028.83639999
99	18.60557	60.40138	2.3	4.5638394356	17.1518001556	2.6183493137	18.7622280121	408.27	0.00	202847.013099998	6708213.5467
100	18.61151	60.40004	1.5	4.5715265274	17.0716552734	2.6279635429	18.7104816437	0.00	0.00	203161.528700001	6708038.3678
101	18.61204	60.41065	1.8	4.5804457664	16.888261795	2.6466705799	18.5875797272	260.11	0.00	203285.554399997	6709214.83819999
102	18.6127	60.39508	4.7	4.5765995979	17.046503067	2.6321969032	18.6942825317	0.00	0.00	203182.586900003	6707482.02789999
103	18.61377	60.36936	2.4	4.5927019119	17.0735092163	2.6417839527	18.7196502686	0.00	0.00	203011.459200002	6704619.7329
104	18.6143	60.39924	3.2	4.5770602226	17.0053424835	2.6354603767	18.6673793793	0.00	0.00	203307.740400001	6707937.1411
105	18.61637	60.36918	2.7	4.5965504646	17.0233039856	2.6474177837	18.6868724823	2094.92	47.00	203152.902699999	6704588.2256
106	18.61658	60.36827	1	4.5965504646	17.0233039856	2.6474177837	18.6868724823	573.91	508.33	203156.3253	6704486.19339999
107	18.62165	60.43155	2	4.5953865051	16.5955734253	2.6790039539	18.3868255615	0.00	0.00	204000.232299998	6711494.4968
108	18.62235	60.4221	0.8	4.5970683098	16.6311149597	2.6773283482	18.4133605957	0.00	0.00	203954.317100003	6710441.44449999
109	18.62279	60.42736	4.2	4.5935411453	16.648727417	2.6736545563	18.4246711731	0.00	0.00	204025.438299998	6711023.92619999
110	18.62298	60.41982	3.5	4.5987262726	16.6345424652	2.6780626774	18.4166564941	19.97	0.00	203968.574600003	6710185.3405
111	18.62326	60.42151	1	4.5970683098	16.6311149597	2.6773283482	18.4133605957	0.00	0.00	203999.040399998	6710371.87539999
112	18.62346	60.42465	3.9	4.5979986191	16.6168842316	2.6790890694	18.404045105	0.00	0.00	204038.051299996	6710719.86919999
113	18.63397	60.43532	1.5	4.6086716652	16.4772281647	2.6962993145	18.3101558685	621.43	225.00	204710.401299998	6711859.0751
114	18.64181	60.30687	2	4.6145162582	17.1890010834	2.6495888233	18.7890529633	0.29	0.00	203998.461699999	6697553.07519999
115	18.64252	60.28539	1.2	4.5929822922	17.538236618	2.615860939	19.0191078186	0.00	0.00	203846.589500002	6695163.513
116	21.52993	58.3878	10	6.9025273323	15.633398056	4.7821006775	17.8276729584	0.00	0.00	355560.8614	6474586.8266
117	21.54027	58.38807	9.8	6.8969473839	15.6413078308	4.7724781036	17.8097820282	0.00	0.00	356166.331299997	6474594.65969999
118	21.65823	58.39573	8	6.8477115631	15.6997356415	4.7176885605	17.7134094238	0.00	0.00	363090.993900001	6475200.41869999
119	21.65923	58.38498	8	6.8370814323	15.7302408218	4.7116084099	17.714345932	0.00	0.00	363107.660300001	6474001.79039999
120	21.65983	58.37692	5	6.8175110817	15.7939252853	4.6973176003	17.7079734802	0.00	8.33	363111.422499999	6473103.4039
121	21.6646	58.38235	3.5	6.8206734657	15.7768316269	4.7026147842	17.715013504	0.00	50.00	363411.383699998	6473698.09659999
122	21.66941	58.37445	5.3	6.7929315567	15.8491210938	4.6861076355	17.7078647614	0.00	0.00	363662.023400001	6472808.9554
123	21.70039	58.38016	8.1	6.7705407143	15.8840990067	4.6803340912	17.7157363892	0.00	0.00	365495.416799999	6473382.0011
124	21.72653	58.35829	10	6.7144126892	16.0259685516	4.6516871452	17.6886119843	0.00	0.00	366941.218199998	6470895.44179999
125	21.76418	58.43245	10	6.7147750854	15.9631948471	4.659529686	17.8213615417	0.00	0.00	369419.192199997	6479076.6046
126	21.77212	58.311	4.6	6.4687843323	16.8675880432	4.5532917976	18.1826953888	0.00	0.00	369433.554799996	6465541.75719999
127	21.77221	58.34262	2.6	6.5421867371	16.5962696075	4.5865416527	18.0143489838	0.00	0.00	369555.771799996	6469061.40729999
128	21.77242	58.34267	3.375	6.5421867371	16.5962696075	4.5865416527	18.0143489838	0.00	332.50	369568.248400002	6469066.5648
129	21.77367	58.4246	7	6.7079758644	15.8903837204	4.6616253853	17.7299995422	0.00	50.00	369944.228200003	6478184.3288
130	21.77372	58.43016	5	6.707631588	15.9254388809	4.6591897011	17.7677936554	0.00	8.33	369967.697400003	6478803.1559
131	21.77427	58.34035	0.4	6.5185017586	16.6843528748	4.57594347	18.0700588226	161.89	850.00	369667.959399998	6468804.7144
132	21.77466	58.33967	0.4	6.5117521286	16.7126579285	4.5733709335	18.0870437622	1.39	167.50	369688.276100002	6468728.2613
133	21.77485	58.41913	8	6.7041292191	15.9217214584	4.6592798233	17.7478637695	0.00	47.00	369992.928499996	6477573.13589999
134	21.7878	58.35728	4.8	6.5622401237	16.4383354187	4.6012482643	17.8867740631	0.00	0.00	370522.123800002	6470663.10909999
135	21.78811	58.30865	3.8	6.4385519028	16.9717636108	4.5392823219	18.2635192871	0.00	218.75	370361.689499996	6465249.1488
136	21.79093	58.33819	0.8	6.4870295525	16.810880661	4.5634388924	18.1525554657	0.00	0.00	370635.243199996	6468532.019
137	21.79215	58.31652	0.5	6.4458322525	16.9563312531	4.5459794998	18.2432003021	266.48	425.00	370627.233499996	6466117.4162
138	21.79495	58.3982	9.3	6.6278595924	16.2698440552	4.6237821579	17.8796100616	0.00	6.25	371090.251400001	6475204.46319999
139	21.79928	58.42498	7.5	6.6881303787	15.9786930084	4.6505150795	17.779800415	0.00	16.67	371441.138800002	6478177.2602
140	21.80111	58.40873	3.2	6.6250863075	16.2922096252	4.6190829277	17.9385356903	0.00	41.67	371488.682599999	6476364.8258
141	21.8024	58.3114	6.4	6.4220247269	17.0463848114	4.5288276672	18.3218002319	0.00	0.00	371208.954999998	6465527.7446
142	21.80344	58.28792	6.9	6.3908629417	17.1086864471	4.5126037598	18.3793296814	0.00	176.00	371184.2606	6462912.002
143	21.80344	58.49097	1	6.7005705833	15.8876552582	4.6506557465	17.7663021088	0.00	16.67	371924.707400001	6485515.2494
144	21.8061	58.3042	5.9	6.4020996094	17.1072673798	4.5161771774	18.3748207092	0.00	378.33	371399.493600003	6464719.1556
145	21.8062	58.39171	5.6	6.6034045219	16.3865947723	4.6117610931	17.9488296509	0.00	18.75	371724.067299999	6474460.43919999
146	21.80735	58.33252	0.7	6.4420647621	16.9994087219	4.5401687622	18.2886981964	132.72	62.67	371575.827200002	6467869.2939
147	21.80736	58.33259	0.4	6.4562211037	16.9444885254	4.5476307869	18.2502326965	0.00	0.00	371576.667499996	6467877.067
148	21.80854	58.36848	7.9	6.5324091911	16.6644229889	4.5786266327	18.0936660767	0.00	0.00	371776.3288	6471870.0315
149	21.81047	58.38794	2.7	6.5750937462	16.5118503571	4.597641468	18.029838562	0.00	0.00	371959.9503	6474032.60889999
150	21.81047	58.38794	2.7	6.5750937462	16.5118503571	4.597641468	18.029838562	0.00	150.00	371959.9503	6474032.60889999
151	21.81275	58.38747	1.5	6.5623931885	16.5712985992	4.5910229683	18.0695400238	0.00	62.50	372091.527000002	6473975.93899999
152	21.813	58.35086	3.4	6.4817886353	16.867275238	4.5548343658	18.2160778046	0.00	0.00	371973.219800002	6469900.0762
153	21.81367	58.28259	3	6.3560357094	17.2407436371	4.4860424995	18.4866218567	0.00	501.67	371764.633000001	6462299.07459999
154	21.81406	58.28255	2.5	6.3560357094	17.2407436371	4.4860424995	18.4866218567	0.00	200.00	371787.354500003	6462293.87629999
155	21.81514	58.49002	1.2	6.6572370529	16.0864658356	4.6265745163	17.8919506073	0.00	0.00	372603.214000001	6485387.21499999
156	21.81799	58.30222	2.9	6.3747577667	17.2187309265	4.4968976974	18.4633979797	0.00	191.67	372089.034299999	6464476.01069999
157	21.82195	58.49328	3	6.6465387344	16.1217517853	4.6217699051	17.9069290161	0.00	0.00	373011.945699997	6485737.2063
158	21.82209	58.37028	4.2	6.4923672676	16.8641242981	4.5567269325	18.2386398315	788.02	900.00	372575.376400001	6472044.5846
